word,letters,count,letter_1,letter_2,letter_3,letter_4,letter_5,letter_6,letter_7
霊山,"['霊', '山']",2,霊,山,,,,,
火急,"['火', '急']",2,火,急,,,,,
保健,"['保', '健']",2,保,健,,,,,
剛直,"['剛', '直']",2,剛,直,,,,,
大安吉日,"['大', '安', '吉', '日']",4,大,安,吉,日,,,
植物園,"['植', '物', '園']",3,植,物,園,,,,
花見酒,"['花', '見', '酒']",3,花,見,酒,,,,
花言葉,"['花', '言', '葉']",3,花,言,葉,,,,
花吹雪,"['花', '吹', '雪']",3,花,吹,雪,,,,
花屋敷,"['花', '屋', '敷']",3,花,屋,敷,,,,
中立国,"['中', '立', '国']",3,中,立,国,,,,
中学校,"['中', '学', '校']",3,中,学,校,,,,
中古車,"['中', '古', '車']",3,中,古,車,,,,
中間色,"['中', '間', '色']",3,中,間,色,,,,
水彩画,"['水', '彩', '画']",3,水,彩,画,,,,
水蒸気,"['水', '蒸', '気']",3,水,蒸,気,,,,
水族館,"['水', '族', '館']",3,水,族,館,,,,
水栽培,"['水', '栽', '培']",3,水,栽,培,,,,
規制緩和,"['規', '制', '緩', '和']",4,規,制,緩,和,,,
貿易外収支,"['貿', '易', '外', '収', '支']",5,貿,易,外,収,支,,
流水文,"['流', '水', '文']",3,流,水,文,,,,
化楽天,"['化', '楽', '天']",3,化,楽,天,,,,
丼勘定,"['丼', '勘', '定']",3,丼,勘,定,,,,
規格外,"['規', '格', '外']",3,規,格,外,,,,
貸借対照表,"['貸', '借', '対', '照', '表']",5,貸,借,対,照,表,,
面壁九年,"['面', '壁', '九', '年']",4,面,壁,九,年,,,
代金引換,"['代', '金', '引', '換']",4,代,金,引,換,,,
気泡緩衝材,"['気', '泡', '緩', '衝', '材']",5,気,泡,緩,衝,材,,
不特定多数,"['不', '特', '定', '多', '数']",5,不,特,定,多,数,,
学用品,"['学', '用', '品']",3,学,用,品,,,,
行政改革,"['行', '政', '改', '革']",4,行,政,改,革,,,
新古今和歌集,"['新', '古', '今', '和', '歌', '集']",6,新,古,今,和,歌,集,
出入国管理,"['出', '入', '国', '管', '理']",5,出,入,国,管,理,,
知識人,"['知', '識', '人']",3,知,識,人,,,,
選挙制度審議会,"['選', '挙', '制', '度', '審', '議', '会']",7,選,挙,制,度,審,議,会
話題作,"['話', '題', '作']",3,話,題,作,,,,
化石人類,"['化', '石', '人', '類']",4,化,石,人,類,,,
全身骨格,"['全', '身', '骨', '格']",4,全,身,骨,格,,,
予行演習,"['予', '行', '演', '習']",4,予,行,演,習,,,
